source_benchmark,machine_id,kernel,elements,bytes,stride,threads,repetition,runtime_sec,bandwidth_gbps,checksum,compiler,compiler_flags
custom,mac_m4_local,copy,20000000,320000000,1,1,1,0.017255000,18.545349,20959998.845069569,clang 22.1.8 ,recorded_in_build_log_or_metadata
custom,mac_m4_local,copy,20000000,320000000,1,1,2,0.004032000,79.365079,20959998.845069569,clang 22.1.8 ,recorded_in_build_log_or_metadata
custom,mac_m4_local,copy,20000000,320000000,1,1,3,0.004232000,75.614367,20959998.845069569,clang 22.1.8 ,recorded_in_build_log_or_metadata
custom,mac_m4_local,copy,20000000,320000000,1,2,1,0.006117000,52.313225,20959998.845088623,clang 22.1.8 ,recorded_in_build_log_or_metadata
custom,mac_m4_local,copy,20000000,320000000,1,2,2,0.003614000,88.544549,20959998.845088623,clang 22.1.8 ,recorded_in_build_log_or_metadata
custom,mac_m4_local,copy,20000000,320000000,1,2,3,0.003387000,94.478890,20959998.845088623,clang 22.1.8 ,recorded_in_build_log_or_metadata
custom,mac_m4_local,copy,20000000,320000000,1,4,1,0.004802000,66.638901,20959998.844975147,clang 22.1.8 ,recorded_in_build_log_or_metadata
custom,mac_m4_local,copy,20000000,320000000,1,4,2,0.003562000,89.837170,20959998.844975147,clang 22.1.8 ,recorded_in_build_log_or_metadata
custom,mac_m4_local,copy,20000000,320000000,1,4,3,0.004402000,72.694230,20959998.844975147,clang 22.1.8 ,recorded_in_build_log_or_metadata
custom,mac_m4_local,scale,20000000,320000000,1,1,1,0.007893000,40.542253,122639998.92083612,clang 22.1.8 ,recorded_in_build_log_or_metadata
custom,mac_m4_local,scale,20000000,320000000,1,1,2,0.004094000,78.163166,122639998.92083612,clang 22.1.8 ,recorded_in_build_log_or_metadata
custom,mac_m4_local,scale,20000000,320000000,1,1,3,0.003714000,86.160474,122639998.92083612,clang 22.1.8 ,recorded_in_build_log_or_metadata
custom,mac_m4_local,scale,20000000,320000000,1,2,1,0.005266000,60.767186,122639998.91955058,clang 22.1.8 ,recorded_in_build_log_or_metadata
custom,mac_m4_local,scale,20000000,320000000,1,2,2,0.003242000,98.704504,122639998.91955058,clang 22.1.8 ,recorded_in_build_log_or_metadata
custom,mac_m4_local,scale,20000000,320000000,1,2,3,0.003713000,86.183679,122639998.91955058,clang 22.1.8 ,recorded_in_build_log_or_metadata
custom,mac_m4_local,scale,20000000,320000000,1,4,1,0.004281000,74.748890,122639998.91993298,clang 22.1.8 ,recorded_in_build_log_or_metadata
custom,mac_m4_local,scale,20000000,320000000,1,4,2,0.003807000,84.055687,122639998.91993298,clang 22.1.8 ,recorded_in_build_log_or_metadata
custom,mac_m4_local,scale,20000000,320000000,1,4,3,0.003395000,94.256259,122639998.91993296,clang 22.1.8 ,recorded_in_build_log_or_metadata
custom,mac_m4_local,add,20000000,480000000,1,1,1,0.010677000,44.956448,61839998.485168561,clang 22.1.8 ,recorded_in_build_log_or_metadata
custom,mac_m4_local,add,20000000,480000000,1,1,2,0.005411000,88.708187,61839998.485168561,clang 22.1.8 ,recorded_in_build_log_or_metadata
custom,mac_m4_local,add,20000000,480000000,1,1,3,0.005518000,86.988039,61839998.485168561,clang 22.1.8 ,recorded_in_build_log_or_metadata
custom,mac_m4_local,add,20000000,480000000,1,2,1,0.007606000,63.108073,61839998.48496148,clang 22.1.8 ,recorded_in_build_log_or_metadata
custom,mac_m4_local,add,20000000,480000000,1,2,2,0.005393000,89.004265,61839998.48496148,clang 22.1.8 ,recorded_in_build_log_or_metadata
custom,mac_m4_local,add,20000000,480000000,1,2,3,0.005571000,86.160474,61839998.48496148,clang 22.1.8 ,recorded_in_build_log_or_metadata
custom,mac_m4_local,add,20000000,480000000,1,4,1,0.006801000,70.577856,61839998.484994031,clang 22.1.8 ,recorded_in_build_log_or_metadata
custom,mac_m4_local,add,20000000,480000000,1,4,2,0.005295000,90.651558,61839998.484994031,clang 22.1.8 ,recorded_in_build_log_or_metadata
custom,mac_m4_local,add,20000000,480000000,1,4,3,0.005302000,90.531875,61839998.484994031,clang 22.1.8 ,recorded_in_build_log_or_metadata
custom,mac_m4_local,triad,20000000,480000000,1,1,1,0.010756000,44.626255,223339998.36198255,clang 22.1.8 ,recorded_in_build_log_or_metadata
custom,mac_m4_local,triad,20000000,480000000,1,1,2,0.005468000,87.783467,223339998.36198255,clang 22.1.8 ,recorded_in_build_log_or_metadata
custom,mac_m4_local,triad,20000000,480000000,1,1,3,0.005420000,88.560886,223339998.36198255,clang 22.1.8 ,recorded_in_build_log_or_metadata
custom,mac_m4_local,triad,20000000,480000000,1,2,1,0.007736000,62.047570,223339998.36200774,clang 22.1.8 ,recorded_in_build_log_or_metadata
custom,mac_m4_local,triad,20000000,480000000,1,2,2,0.005590000,85.867621,223339998.36200774,clang 22.1.8 ,recorded_in_build_log_or_metadata
custom,mac_m4_local,triad,20000000,480000000,1,2,3,0.005297000,90.617331,223339998.36200774,clang 22.1.8 ,recorded_in_build_log_or_metadata
custom,mac_m4_local,triad,20000000,480000000,1,4,1,0.006414000,74.836296,223339998.36199781,clang 22.1.8 ,recorded_in_build_log_or_metadata
custom,mac_m4_local,triad,20000000,480000000,1,4,2,0.005658000,84.835631,223339998.36199781,clang 22.1.8 ,recorded_in_build_log_or_metadata
custom,mac_m4_local,triad,20000000,480000000,1,4,3,0.005107000,93.988643,223339998.36199781,clang 22.1.8 ,recorded_in_build_log_or_metadata
